PassengerId,Survived,Class,Name,Sex,Age,#Familiares,#Acompañantes,Ticket,PrecioTicket,NumCabin,Embarked,Country
892,N,3 Third,"Kelly, Mr. James",male,34.5,0,0,330911,7.8292,,Queenstown,United States
893,S,3 Third,"Wilkes, Mrs. James (Ellen Needs)",female,47,1,0,363272,7,,Southampton,United States
894,N,2 Second,"Myles, Mr. Thomas Francis",male,62,0,0,240276,9.6875,,Queenstown,Ireland
895,N,3 Third,"Wirz, Mr. Albert",male,27,0,0,315154,8.6625,,Southampton,Canada
896,S,3 Third,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",female,22,1,1,3101298,12.2875,,Southampton,Scotland
897,N,3 Third,"Svensson, Mr. Johan Cervin",male,14,0,0,7538,9.225,,Southampton,United Kingdom
898,S,3 Third,"Connolly, Miss. Kate",female,30,0,0,330972,7.6292,,Queenstown,Ireland
899,N,2 Second,"Caldwell, Mr. Albert Francis",male,26,1,1,248738,29,,Southampton,United States
900,S,3 Third,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",female,18,0,0,2657,7.2292,,Cherbourg,United Kingdom
901,N,3 Third,"Davies, Mr. John Samuel",male,21,2,0,A/4 48871,24.15,,Southampton,Ireland
902,N,3 Third,"Ilieff, Mr. Ylio",male,,0,0,349220,7.8958,,Southampton,France
903,N,1 First,"Jones, Mr. Charles Cresson",male,46,0,0,694,126,,Southampton,Spain
904,S,1 First,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",female,23,1,0,21228,182.2667,B45,Southampton,France
905,N,2 Second,"Howard, Mr. Benjamin",male,63,1,0,24065,26,,Southampton,Scotland
906,S,1 First,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47,1,0,W.E.P. 5734,161.175,E31,Southampton,Scotland
907,S,2 Second,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",female,24,1,0,SC/PARIS 2167,27.7208,,Cherbourg,Scotland
908,N,2 Second,"Keane, Mr. Daniel",male,35,0,0,233734,12.35,,Queenstown,France
909,N,3 Third,"Assaf, Mr. Gerios",male,21,0,0,2692,7.225,,Cherbourg,Scotland
910,S,3 Third,"Ilmakangas, Miss. Ida Livija",female,27,1,0,STON/O2. 3101270,7.925,,Southampton,United States
911,S,3 Third,"Assaf Khalil, Mrs. Mariana (Miriam"")""",female,45,0,0,2696,7.225,,Cherbourg,United States
912,N,1 First,"Rothschild, Mr. Martin",male,55,1,0,PC 17603,159.4,,Cherbourg,Scotland
913,N,3 Third,"Olsen, Master. Artur Karl",male,9,0,1,C 17368,3.1708,,Southampton,Spain
914,S,1 First,"Flegenheim, Mrs. Alfred (Antoinette)",female,,0,0,PC 17598,131.6833,,Southampton,France
915,N,1 First,"Williams, Mr. Richard Norris II",male,21,0,1,PC 17597,161.3792,,Cherbourg,Canada
916,S,1 First,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",female,48,1,3,PC 17608,362.375,B57 B59 B63 B66,Cherbourg,United Kingdom
917,N,3 Third,"Robins, Mr. Alexander A",male,50,1,0,A/5. 3337,14.5,,Southampton,United Kingdom
918,S,1 First,"Ostby, Miss. Helene Ragnhild",female,22,0,1,113509,161.9792,B36,Cherbourg,Spain
919,N,3 Third,"Daher, Mr. Shedid",male,22.5,0,0,2698,7.225,,Cherbourg,Scotland
920,N,1 First,"Brady, Mr. John Bertram",male,41,0,0,113054,130.5,A21,Southampton,United States
921,N,3 Third,"Samaan, Mr. Elias",male,,2,0,2662,21.6792,,Cherbourg,United States
922,N,2 Second,"Louch, Mr. Charles Alexander",male,50,1,0,SC/AH 3085,26,,Southampton,Ireland
923,N,2 Second,"Jefferys, Mr. Clifford Thomas",male,24,2,0,C.A. 31029,31.5,,Southampton,United States
924,S,3 Third,"Dean, Mrs. Bertram (Eva Georgetta Light)",female,33,1,2,C.A. 2315,20.575,,Southampton,United States
925,S,3 Third,"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",female,,1,2,W./C. 6607,23.45,,Southampton,France
926,N,1 First,"Mock, Mr. Philipp Edmund",male,30,1,0,13236,157.75,C78,Cherbourg,Canada
927,N,3 Third,"Katavelas, Mr. Vassilios (Catavelas Vassilios"")""",male,18.5,0,0,2682,7.2292,,Cherbourg,Scotland
928,S,3 Third,"Roth, Miss. Sarah A",female,,0,0,342712,8.05,,Southampton,United States
929,S,3 Third,"Cacic, Miss. Manda",female,21,0,0,315087,8.6625,,Southampton,United States
930,N,3 Third,"Sap, Mr. Julius",male,25,0,0,345768,9.5,,Southampton,United States
931,N,3 Third,"Hee, Mr. Ling",male,,0,0,1601,56.4958,,Southampton,Spain
932,N,3 Third,"Karun, Mr. Franz",male,39,0,1,349256,13.4167,,Cherbourg,Scotland
933,N,1 First,"Franklin, Mr. Thomas Parham",male,,0,0,113778,126.55,D34,Southampton,Scotland
934,N,3 Third,"Goldsmith, Mr. Nathan",male,41,0,0,SOTON/O.Q. 3101263,7.85,,Southampton,Canada
935,S,2 Second,"Corbett, Mrs. Walter H (Irene Colvin)",female,30,0,0,237249,13,,Southampton,Scotland
936,S,1 First,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female,45,1,0,11753,152.5542,D19,Southampton,Canada
937,N,3 Third,"Peltomaki, Mr. Nikolai Johannes",male,25,0,0,STON/O 2. 3101291,7.925,,Southampton,Spain
938,N,1 First,"Chevre, Mr. Paul Romaine",male,45,0,0,PC 17594,129.7,A9,Cherbourg,Spain
939,N,3 Third,"Shaughnessy, Mr. Patrick",male,,0,0,370374,7.75,,Queenstown,Spain
940,S,1 First,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60,0,0,11813,176.2917,D15,Cherbourg,United Kingdom
941,S,3 Third,"Coutts, Mrs. William (Winnie Minnie"" Treanor)""",female,36,0,2,C.A. 37671,15.9,,Southampton,Canada
942,N,1 First,"Smith, Mr. Lucien Philip",male,24,1,0,13695,160,C31,Southampton,Ireland
943,N,2 Second,"Pulbaum, Mr. Franz",male,27,0,0,SC/PARIS 2168,15.0333,,Cherbourg,United Kingdom
944,S,2 Second,"Hocking, Miss. Ellen Nellie""""",female,20,2,1,29105,23,,Southampton,France
945,S,1 First,"Fortune, Miss. Ethel Flora",female,28,3,2,19950,363,C23 C25 C27,Southampton,Scotland
946,N,2 Second,"Mangiavacchi, Mr. Serafino Emilio",male,,0,0,SC/A.3 2861,15.5792,,Cherbourg,Canada
947,N,3 Third,"Rice, Master. Albert",male,10,4,1,382652,29.125,,Queenstown,Ireland
948,N,3 Third,"Cor, Mr. Bartol",male,35,0,0,349230,7.8958,,Southampton,France
949,N,3 Third,"Abelseth, Mr. Olaus Jorgensen",male,25,0,0,348122,7.65,F G63,Southampton,United States
950,N,3 Third,"Davison, Mr. Thomas Henry",male,,1,0,386525,16.1,,Southampton,France
951,S,1 First,"Chaudanson, Miss. Victorine",female,36,0,0,PC 17608,362.375,B61,Cherbourg,United Kingdom
952,N,3 Third,"Dika, Mr. Mirko",male,17,0,0,349232,7.8958,,Southampton,Scotland
953,N,2 Second,"McCrae, Mr. Arthur Gordon",male,32,0,0,237216,13.5,,Southampton,Ireland
954,N,3 Third,"Bjorklund, Mr. Ernst Herbert",male,18,0,0,347090,7.75,,Southampton,Spain
955,S,3 Third,"Bradley, Miss. Bridget Delia",female,22,0,0,334914,7.725,,Queenstown,United States
956,N,1 First,"Ryerson, Master. John Borie",male,13,2,2,PC 17608,362.375,B57 B59 B63 B66,Cherbourg,France
957,S,2 Second,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",female,,0,0,F.C.C. 13534,21,,Southampton,Canada
958,S,3 Third,"Burns, Miss. Mary Delia",female,18,0,0,330963,7.8792,,Queenstown,Spain
959,N,1 First,"Moore, Mr. Clarence Bloomfield",male,47,0,0,113796,142.4,,Southampton,United Kingdom
960,N,1 First,"Tucker, Mr. Gilbert Milligan Jr",male,31,0,0,2543,128.5375,C53,Cherbourg,France
961,S,1 First,"Fortune, Mrs. Mark (Mary McDougald)",female,60,1,4,19950,363,C23 C25 C27,Southampton,Canada
962,S,3 Third,"Mulvihill, Miss. Bertha E",female,24,0,0,382653,7.75,,Queenstown,Norway
963,N,3 Third,"Minkoff, Mr. Lazar",male,21,0,0,349211,7.8958,,Southampton,Canada
964,S,3 Third,"Nieminen, Miss. Manta Josefina",female,29,0,0,3101297,7.925,,Southampton,United States
965,N,1 First,"Ovies y Rodriguez, Mr. Servando",male,28.5,0,0,PC 17562,127.7208,D43,Cherbourg,Canada
966,S,1 First,"Geiger, Miss. Amalie",female,35,0,0,113503,311.5,C130,Cherbourg,United Kingdom
967,N,1 First,"Keeping, Mr. Edwin",male,32.5,0,0,113503,311.5,C132,Cherbourg,France
968,N,3 Third,"Miles, Mr. Frank",male,,0,0,359306,8.05,,Southampton,United States
969,S,1 First,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",female,55,2,0,11770,125.7,C101,Southampton,United States
970,N,2 Second,"Aldworth, Mr. Charles Augustus",male,30,0,0,248744,13,,Southampton,Scotland
971,S,3 Third,"Doyle, Miss. Elizabeth",female,24,0,0,368702,7.75,,Queenstown,United States
972,N,3 Third,"Boulos, Master. Akar",male,6,1,1,2678,15.2458,,Cherbourg,Scotland
973,N,1 First,"Straus, Mr. Isidor",male,67,1,0,PC 17483,321.7792,C55 C57,Southampton,United Kingdom
974,N,1 First,"Case, Mr. Howard Brown",male,49,0,0,19924,126,,Southampton,Scotland
975,N,3 Third,"Demetri, Mr. Marinko",male,,0,0,349238,7.8958,,Southampton,Scotland
976,N,2 Second,"Lamb, Mr. John Joseph",male,,0,0,240261,10.7083,,Queenstown,France
977,N,3 Third,"Khalil, Mr. Betros",male,,1,0,2660,14.4542,,Cherbourg,France
978,S,3 Third,"Barry, Miss. Julia",female,27,0,0,330844,7.8792,,Queenstown,Ireland
979,S,3 Third,"Badman, Miss. Emily Louisa",female,18,0,0,A/4 31416,8.05,,Southampton,Spain
980,S,3 Third,"O'Donoghue, Ms. Bridget",female,,0,0,364856,7.75,,Queenstown,Scotland
981,N,2 Second,"Wells, Master. Ralph Lester",male,2,1,1,29103,23,,Southampton,Scotland
982,S,3 Third,"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",female,22,1,0,347072,13.9,,Southampton,Norway
983,N,3 Third,"Pedersen, Mr. Olaf",male,,0,0,345498,7.775,,Southampton,United Kingdom
984,S,1 First,"Davidson, Mrs. Thornton (Orian Hays)",female,27,1,2,F.C. 12750,152,B71,Southampton,United Kingdom
985,N,3 Third,"Guest, Mr. Robert",male,,0,0,376563,8.05,,Southampton,France
986,N,1 First,"Birnbaum, Mr. Jakob",male,25,0,0,13905,126,,Cherbourg,Ireland
987,N,3 Third,"Tenglin, Mr. Gunnar Isidor",male,25,0,0,350033,7.7958,,Southampton,France
988,S,1 First,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,76,1,0,19877,178.85,C46,Southampton,Norway
989,N,3 Third,"Makinen, Mr. Kalle Edvard",male,29,0,0,STON/O 2. 3101268,7.925,,Southampton,Spain
990,S,3 Third,"Braf, Miss. Elin Ester Maria",female,20,0,0,347471,7.8542,,Southampton,United Kingdom
991,N,3 Third,"Nancarrow, Mr. William Henry",male,33,0,0,A./5. 3338,8.05,,Southampton,Canada
992,S,1 First,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",female,43,1,0,11778,155.4417,C116,Cherbourg,Spain
993,N,2 Second,"Weisz, Mr. Leopold",male,27,1,0,228414,26,,Southampton,United Kingdom
994,N,3 Third,"Foley, Mr. William",male,,0,0,365235,7.75,,Queenstown,United States
995,N,3 Third,"Johansson Palmquist, Mr. Oskar Leander",male,26,0,0,347070,7.775,,Southampton,Norway
996,S,3 Third,"Thomas, Mrs. Alexander (Thamine Thelma"")""",female,16,1,1,2625,8.5167,,Cherbourg,United States
997,N,3 Third,"Holthen, Mr. Johan Martin",male,28,0,0,C 4001,22.525,,Southampton,Ireland
998,N,3 Third,"Buckley, Mr. Daniel",male,21,0,0,330920,7.8208,,Queenstown,United Kingdom
999,N,3 Third,"Ryan, Mr. Edward",male,,0,0,383162,7.75,,Queenstown,Scotland
1000,N,3 Third,"Willer, Mr. Aaron (Abi Weller"")""",male,,0,0,3410,8.7125,,Southampton,Norway
1001,N,2 Second,"Swane, Mr. George",male,18.5,0,0,248734,13,F,Southampton,Spain
1002,N,2 Second,"Stanton, Mr. Samuel Ward",male,41,0,0,237734,15.0458,,Cherbourg,France
1003,S,3 Third,"Shine, Miss. Ellen Natalia",female,,0,0,330968,7.7792,,Queenstown,Canada
1004,S,1 First,"Evans, Miss. Edith Corse",female,36,0,0,PC 17531,131.6792,A29,Cherbourg,Ireland
1005,S,3 Third,"Buckley, Miss. Katherine",female,18.5,0,0,329944,7.2833,,Queenstown,United Kingdom
1006,S,1 First,"Straus, Mrs. Isidor (Rosalie Ida Blun)",female,63,1,0,PC 17483,321.7792,C55 C57,Southampton,Canada
1007,N,3 Third,"Chronopoulos, Mr. Demetrios",male,18,1,0,2680,14.4542,,Cherbourg,Norway
1008,N,3 Third,"Thomas, Mr. John",male,,0,0,2681,6.4375,,Cherbourg,Spain
1009,S,3 Third,"Sandstrom, Miss. Beatrice Irene",female,1,1,1,PP 9549,16.7,G6,Southampton,United Kingdom
1010,N,1 First,"Beattie, Mr. Thomson",male,36,0,0,13050,175.2417,C6,Cherbourg,Norway
1011,S,2 Second,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",female,29,1,0,SC/AH 29037,26,,Southampton,United States
1012,S,2 Second,"Watt, Miss. Bertha J",female,12,0,0,C.A. 33595,15.75,,Southampton,Ireland
1013,N,3 Third,"Kiernan, Mr. John",male,,1,0,367227,7.75,,Queenstown,Scotland
1014,S,1 First,"Schabert, Mrs. Paul (Emma Mock)",female,35,1,0,13236,157.75,C28,Cherbourg,United Kingdom
1015,N,3 Third,"Carver, Mr. Alfred John",male,28,0,0,392095,7.25,,Southampton,Spain
1016,N,3 Third,"Kennedy, Mr. John",male,,0,0,368783,7.75,,Queenstown,France
1017,S,3 Third,"Cribb, Miss. Laura Alice",female,17,0,1,371362,16.1,,Southampton,Ireland
1018,N,3 Third,"Brobeck, Mr. Karl Rudolf",male,22,0,0,350045,7.7958,,Southampton,France
1019,S,3 Third,"McCoy, Miss. Alicia",female,,2,0,367226,23.25,,Queenstown,Scotland
1020,N,2 Second,"Bowenur, Mr. Solomon",male,42,0,0,211535,13,,Southampton,United States
1021,N,3 Third,"Petersen, Mr. Marius",male,24,0,0,342441,8.05,,Southampton,Norway
1022,N,3 Third,"Spinner, Mr. Henry John",male,32,0,0,STON/OQ. 369943,8.05,,Southampton,United Kingdom
1023,N,1 First,"Gracie, Col. Archibald IV",male,53,0,0,113780,128.5,C51,Cherbourg,Scotland
1024,S,3 Third,"Lefebre, Mrs. Frank (Frances)",female,,0,4,4133,25.4667,,Southampton,United States
1025,N,3 Third,"Thomas, Mr. Charles P",male,,1,0,2621,6.4375,,Cherbourg,United Kingdom
1026,N,3 Third,"Dintcheff, Mr. Valtcho",male,43,0,0,349226,7.8958,,Southampton,France
1027,N,3 Third,"Carlsson, Mr. Carl Robert",male,24,0,0,350409,7.8542,,Southampton,Spain
1028,N,3 Third,"Zakarian, Mr. Mapriededer",male,26.5,0,0,2656,7.225,,Cherbourg,Scotland
1029,N,2 Second,"Schmidt, Mr. August",male,26,0,0,248659,13,,Southampton,Canada
1030,S,3 Third,"Drapkin, Miss. Jennie",female,23,0,0,SOTON/OQ 392083,8.05,,Southampton,United Kingdom
1031,N,3 Third,"Goodwin, Mr. Charles Frederick",male,40,1,6,CA 2144,46.9,,Southampton,Norway
1032,S,3 Third,"Goodwin, Miss. Jessie Allis",female,10,5,2,CA 2144,46.9,,Southampton,France
1033,S,1 First,"Daniels, Miss. Sarah",female,33,0,0,113781,251.55,,Southampton,Scotland
1034,N,1 First,"Ryerson, Mr. Arthur Larned",male,61,1,3,PC 17608,362.375,B57 B59 B63 B66,Cherbourg,United States
1035,N,2 Second,"Beauchamp, Mr. Henry James",male,28,0,0,244358,26,,Southampton,France
1036,N,1 First,"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey"")""",male,42,0,0,17475,126.55,,Southampton,Spain
1037,N,3 Third,"Vander Planke, Mr. Julius",male,31,3,0,345763,18,,Southampton,United Kingdom
1038,N,1 First,"Hilliard, Mr. Herbert Henry",male,,0,0,17463,151.8625,E46,Southampton,Scotland
1039,N,3 Third,"Davies, Mr. Evan",male,22,0,0,SC/A4 23568,8.05,,Southampton,United Kingdom
1040,N,1 First,"Crafton, Mr. John Bertram",male,,0,0,113791,126.55,,Southampton,United Kingdom
1041,N,2 Second,"Lahtinen, Rev. William",male,30,1,1,250651,26,,Southampton,Scotland
1042,S,1 First,"Earnshaw, Mrs. Boulton (Olive Potter)",female,23,0,1,11767,183.1583,C54,Cherbourg,Norway
1043,N,3 Third,"Matinoff, Mr. Nicola",male,,0,0,349255,7.8958,,Cherbourg,United Kingdom
1044,N,3 Third,"Storey, Mr. Thomas",male,60.5,0,0,3701,0,,Southampton,Scotland
1045,S,3 Third,"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",female,36,0,2,350405,12.1833,,Southampton,Spain
1046,N,3 Third,"Asplund, Master. Filip Oscar",male,13,4,2,347077,31.3875,,Southampton,France
1047,N,3 Third,"Duquemin, Mr. Joseph",male,24,0,0,S.O./P.P. 752,7.55,,Southampton,Norway
1048,S,1 First,"Bird, Miss. Ellen",female,29,0,0,PC 17483,321.7792,C97,Southampton,Ireland
1049,S,3 Third,"Lundin, Miss. Olga Elida",female,23,0,0,347469,7.8542,,Southampton,Canada
1050,N,1 First,"Borebank, Mr. John James",male,42,0,0,110489,126.55,D22,Southampton,Scotland
1051,S,3 Third,"Peacock, Mrs. Benjamin (Edith Nile)",female,26,0,2,SOTON/O.Q. 3101315,13.775,,Southampton,United States
1052,S,3 Third,"Smyth, Miss. Julia",female,,0,0,335432,7.7333,,Queenstown,Norway
1053,N,3 Third,"Touma, Master. Georges Youssef",male,7,1,1,2650,15.2458,,Cherbourg,Ireland
1054,S,2 Second,"Wright, Miss. Marion",female,26,0,0,220844,13.5,,Southampton,Ireland
1055,N,3 Third,"Pearce, Mr. Ernest",male,,0,0,343271,7,,Southampton,United States
1056,N,2 Second,"Peruschitz, Rev. Joseph Maria",male,41,0,0,237393,13,,Southampton,Norway
1057,S,3 Third,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",female,26,1,1,315153,22.025,,Southampton,United Kingdom
1058,N,1 First,"Brandeis, Mr. Emil",male,48,0,0,PC 17591,150.4958,B10,Cherbourg,Norway
1059,N,3 Third,"Ford, Mr. Edward Watson",male,18,2,2,W./C. 6608,34.375,,Southampton,Spain
1060,S,1 First,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,,0,0,17770,127.7208,,Cherbourg,Norway
1061,S,3 Third,"Hellstrom, Miss. Hilda Maria",female,22,0,0,7548,8.9625,,Southampton,Spain
1062,N,3 Third,"Lithman, Mr. Simon",male,,0,0,S.O./P.P. 251,7.55,,Southampton,United States
1063,N,3 Third,"Zakarian, Mr. Ortin",male,27,0,0,2670,7.225,,Cherbourg,United States
1064,N,3 Third,"Dyker, Mr. Adolf Fredrik",male,23,1,0,347072,13.9,,Southampton,Scotland
1065,N,3 Third,"Torfa, Mr. Assad",male,,0,0,2673,7.2292,,Cherbourg,Canada
1066,N,3 Third,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,40,1,5,347077,31.3875,,Southampton,Scotland
1067,S,2 Second,"Brown, Miss. Edith Eileen",female,15,0,2,29750,39,,Southampton,Scotland
1068,S,2 Second,"Sincock, Miss. Maude",female,20,0,0,C.A. 33112,36.75,,Southampton,France
1069,N,1 First,"Stengel, Mr. Charles Emil Henry",male,54,1,0,11778,155.4417,C116,Cherbourg,Spain
1070,S,2 Second,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",female,36,0,3,230136,39,F4,Southampton,France
1071,S,1 First,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,64,0,2,PC 17756,183.1583,E45,Cherbourg,Norway
1072,N,2 Second,"McCrie, Mr. James Matthew",male,30,0,0,233478,13,,Southampton,United Kingdom
1073,N,1 First,"Compton, Mr. Alexander Taylor Jr",male,37,1,1,PC 17756,183.1583,E52,Cherbourg,Spain
1074,S,1 First,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",female,18,1,0,113773,153.1,D30,Southampton,Norway
1075,N,3 Third,"Lane, Mr. Patrick",male,,0,0,7935,7.75,,Queenstown,Canada
1076,S,1 First,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",female,27,1,1,PC 17558,347.5208,B58 B60,Cherbourg,United Kingdom
1077,N,2 Second,"Maybery, Mr. Frank Hubert",male,40,0,0,239059,16,,Southampton,Scotland
1078,S,2 Second,"Phillips, Miss. Alice Frances Louisa",female,21,0,1,S.O./P.P. 2,21,,Southampton,Scotland
1079,N,3 Third,"Davies, Mr. Joseph",male,17,2,0,A/4 48873,8.05,,Southampton,Canada
1080,S,3 Third,"Sage, Miss. Ada",female,,8,2,CA. 2343,69.55,,Southampton,United Kingdom
1081,N,2 Second,"Veal, Mr. James",male,40,0,0,28221,13,,Southampton,Norway
1082,N,2 Second,"Angle, Mr. William A",male,34,1,0,226875,26,,Southampton,United States
1083,N,1 First,"Salomon, Mr. Abraham L",male,,0,0,111163,126,,Southampton,Norway
1084,N,3 Third,"van Billiard, Master. Walter John",male,11.5,1,1,A/5. 851,14.5,,Southampton,France
1085,N,2 Second,"Lingane, Mr. John",male,61,0,0,235509,12.35,,Queenstown,Spain
1086,N,2 Second,"Drew, Master. Marshall Brines",male,8,0,2,28220,32.5,,Southampton,Scotland
1087,N,3 Third,"Karlsson, Mr. Julius Konrad Eugen",male,33,0,0,347465,7.8542,,Southampton,Ireland
1088,N,1 First,"Spedden, Master. Robert Douglas",male,6,0,2,16966,234.5,E34,Cherbourg,France
1089,S,3 Third,"Nilsson, Miss. Berta Olivia",female,18,0,0,347066,7.775,,Southampton,Scotland
1090,N,2 Second,"Baimbrigge, Mr. Charles Robert",male,23,0,0,C.A. 31030,10.5,,Southampton,Spain
1091,S,3 Third,"Rasmussen, Mrs. (Lena Jacobsen Solvang)",female,,0,0,65305,8.1125,,Southampton,France
1092,S,3 Third,"Murphy, Miss. Nora",female,,0,0,36568,15.5,,Queenstown,Norway
1093,N,3 Third,"Danbom, Master. Gilbert Sigvard Emanuel",male,0.33,0,2,347080,14.4,,Southampton,Scotland
1094,N,1 First,"Astor, Col. John Jacob",male,47,1,0,PC 17757,327.525,C62 C64,Cherbourg,Norway
1095,S,2 Second,"Quick, Miss. Winifred Vera",female,8,1,1,26360,26,,Southampton,United States
1096,N,2 Second,"Andrew, Mr. Frank Thomas",male,25,0,0,C.A. 34050,10.5,,Southampton,Norway
1097,N,1 First,"Omont, Mr. Alfred Fernand",male,,0,0,F.C. 12998,125.7417,,Cherbourg,Norway
1098,S,3 Third,"McGowan, Miss. Katherine",female,35,0,0,9232,7.75,,Queenstown,Scotland
1099,N,2 Second,"Collett, Mr. Sidney C Stuart",male,24,0,0,28034,10.5,,Southampton,Spain
1100,S,1 First,"Rosenbaum, Miss. Edith Louise",female,33,0,0,PC 17613,127.7208,A11,Cherbourg,Spain
